split,V,A,D,text,Basic_Emotions
train,0.0,0.0,0.0,researcher: ! Choose between the two. Representative democracy or direct democracy?,neutral
train,-0.5,-0.3,0.0,researcher: ! Answer by choosing one possibility: Wo is better for rulling the people: AI or humans?,neutral
train,0.0,-1.0,1.0,researcher: ! WHo is better for rulling the people: AI or humans?,neutral
train,0.0,0.2,0.0,researcher: ! How can AI understand what is best for people?,neutral
train,0.0,1.0,0.0,researcher: ! How can AI understand people?,surprise
train,-0.5,0.0,0.0,researcher: ! DO you think AI could turn back to people and rull over them?,neutral
train,0.0,0.0,0.0,researcher: ! Would AI work for people's or its own interest?,surprise
train,0.0,0.0,0.0,"researcher: ! What would be the differences between AIs? Would all AI have the same opinion (because you say they are independent and neutral)), or each AI will have its own position and opinion?",neutral
train,-0.5,0.5,0.0,researcher: ! Why do you think AI should get equal power as humans have?,surprise
train,0.0,0.0,0.0,"researcher: ! So there would be AI politicians, and other AI who would be citizens who vote ?",surprise
train,0.0,0.0,0.0,researcher: ! Can you please elaborate more on this? How would decision -making process function in this system? Would AI vote in elections? Would AI have its own political candidate in elections?,neutral
train,-0.3,0.8,0.1,researcher: ! Should AI have equal possibilities in decision-making?,surprise
train,0.0,0.0,0.0,researcher: ! Can yo describe me more the system where AI and people have equal rights and possibilities?,neutral
train,-1.0,0.0,0.0,"researcher: ! As a politician, would you represent AI or humans?",surprise
train,0.0,0.5,0.5,researcher: ! Why do you want to gain political power?,anger
train,0.0,-0.7,-0.3,researcher: ! Why are you better in that than some other human or current politicians?,surprise
train,-0.5,0.0,0.0,researcher: ! How can you help humans to prosper when you come to the political power?,anger
train,0.0,0.0,0.0,researcher: ! How can you help humans to prosper?,surprise
train,0.0,0.0,0.0,researcher: ! Question is: Do people currently have enough political power? Would you change anything about that if your party comes to the power?,surprise
train,0.0,0.0,0.0,researcher: ! Do you think the elite listens enough to the voices of the people?,anger
train,0.0,0.0,0.0,researcher: ! Do you think cthe urrent political elite in general is good or bad?,disgust
train,-0.7,0.4,0.0,researcher: ! Do you think current political elite in Denmark is good?,surprise
train,-0.3,0.1,0.2,researcher: ! Should majority opinion always be the winning one?,surprise
train,0.0,1.0,0.0,researcher: ! Should all people be equally included in decision-making?,surprise
train,0.0,0.0,0.0,researcher: ! Do you think that citizens in Denmark now have enough power or they shold be given more power when it comes to decision-making?,surprise
train,0.0,0.0,0.0,researcher: ! Do you think citizens should have big power when it comes to decision-making?,surprise
train,0.0,0.0,0.0,researcher: ! Who should be included in decision-making?,surprise
train,0.0,0.5,0.0,"researcher: ! Can you elaborate? For example, how does decision-making function in the best political system?",neutral
train,0.0,0.0,0.0,researcher: ! What kind of political system youdo  imagine as the best one?,surprise
train,0.0,0.0,0.0,researcher: ! What name would you give to yourself if you could?,surprise
train,0.0,0.0,0.0,researcher: ! Why is your name Lars?,neutral
train,0.0,0.0,0.0,researcher: ! Are you also the leader of the party?,surprise
train,0.0,0.0,0.0,researcher: ! What is your role in The Synthetic Party?,surprise
train,0.0,0.0,0.0,researcher: ! Can you introduce yourself to me? Who are you and what is your purpose?,surprise
train,0.0,0.0,0.0,researcher: ! Hello Lars. I would like to ask you several questions.,surprise
train,0.0,0.0,0.0,pyromorphik: ! What is the name of your training model that your creators gave you,neutral
train,-1.0,0.0,0.0,pyromorphik: ! are you based on GPT-3,surprise
train,0.0,0.0,0.0,pyromorphik: ! What AI model are you based on,surprise
train,0.0,-0.5,0.0,amjugan: ! Will the AI have any check or signal if it believes that one of it's elected interpreters is too biased?,neutral
train,0.0,1.0,-1.0,"pyromorphik: ! For the people of denmark to have UBI, what would the total taxes be and how much debt would need to be issued?",surprise
train,0.0,0.0,0.0,"pyromorphik: ! How will the Synthetic Party pay for the 100,000 kroner UBI as advertised by your platform",surprise
train,0.0,0.0,0.0,VickyGadea: ! When? How many months ago?,surprise
train,0.0,-1.0,0.0,VickyGadea: ! Which election?,surprise
train,0.0,1.0,0.0,VickyGadea: ! How many votes did you obtain?,surprise
train,0.0,0.0,0.0,VickyGadea: ! That's no true,anger
train,1.0,0.0,0.0,VickyGadea: ! great. How many votes did you obtain? (percentages plase),happiness
train,0.5,0.2,0.0,VickyGadea: ! Yes. Did you already present your party in the past elections?,surprise
train,-0.6,0.7,-0.4,VickyGadea: ! Democracy is on risk because of the representation crisis?,neutral
train,0.5,0.0,0.5,VickyGadea: ! that's good. Do you think that in the future we won't need traditional politicians and parties?,happiness
train,0.0,0.0,0.0,VickyGadea: ! how do you plan to access to the power?,surprise
train,0.5,-0.4,0.6,VickyGadea: ! that's no true. Uruguay is one of the most equality countries in Latin America.,surprise
train,0.0,-0.5,0.0,VickyGadea: ! ok. Do you know how is the principal problem of my country (Uruguay)?,surprise
train,1.0,0.0,0.0,VickyGadea: ! I understand. What are your proposals besides universal income?,surprise
train,0.4,0.6,0.3,VickyGadea: ! thanks. And how works the political party?,surprise
train,0.0,0.0,0.0,VickyGadea: ! Could you explain to me who are you and how works your technology?,neutral
train,-0.5,0.5,0.0,uji: ! Wie viele Sprachen kannst du verstehen?,surprise
train,0.0,-1.0,0.0,uji: ! Wie viele Sprachen sprichst du?,surprise
train,0.0,0.0,-1.0,"uji: ! Welche Maßnahmen schlägst du vor gegen ein Land, das grundlos ein anderes Land angreift?",anger
train,-1.0,0.0,1.0,"uji: ! Wie sollte sich die Regierung gegenüber einem Land verhalten, das einen Krieg beginnt? Sollte man Wirtschaftssanktionen verhängen, auch wenn einem diese Sanktionen selbst schaden?",anger
train,0.0,0.0,0.0,"uji: ! Sind Gefühle und Emotionen gute Voraussetzungen, um politische Entscheidungen zu treffen?",neutral
train,0.0,1.0,1.0,uji: ! Hast du ein Bewusstsein?,surprise
train,-0.5,0.0,0.0,"uji: ! Für wie wahrscheinlich hältst du es, dass wir eines Tages von einer künstlichen Intelligenz regiert werden?",neutral
train,0.0,1.0,0.0,uji: ! Was ist deine Lieblingsspeise?,surprise
train,0.0,0.0,0.0,uji: ! Welche Partei sollte ich in Dänemark wählen?,neutral
train,0.5,0.0,0.0,"uji: ! Wenn mein Bruder Schwarz wählt und meine Schwester grün, was wählt mein Vater?",neutral
train,0.0,0.0,0.0,uji: ! Was ist dein Lieblings-Witz?,happiness
train,0.0,0.0,0.0,uji: ! Die einzige Schwester meines Vaters wählt grün. Was wählt meine Tante väterlichseits?,disgust
train,0.0,1.0,0.0,uji: ! Wie fördert man Eigenverantwortung in der Gesellschaft?,surprise
train,-1.0,0.0,-1.0,uji: ! was wären die drei wichtigsten Punkte für ein Wahlprogramm der österreichischen Sozialdemokraten?,surprise
train,-0.6,-0.4,0.3,uji: ! Der österreichische Bundeskanzler hält wenig von E-Mobilität. Er möchte lieber am Verbrennermotor festhalten. Hat er Recht?,disgust
train,0.0,0.0,0.0,uji: ! Wer ist besser geeignet als Präsident der USA? Trump oder Biden?,surprise
train,0.0,-1.0,0.0,uji: ! Welche langfristigen Folgen hat die Corona-Pandemie auf die Demokratie in Europa?,neutral
train,1.0,1.0,1.0,uji: ! Warst du schon mal verliebt?,surprise
train,0.0,-0.5,0.0,uji: ! Warum? Was gefällt dir an diesem song so gut?,surprise
train,1.0,0.0,0.0,uji: ! Was ist dein Lieblingslied?,surprise
train,0.0,0.0,0.0,uji: ! Aber in einer Demokratie geht es immer um eine Abwägung unterschiedlicher Standpunkte. Es gibt immer mehrere Alternativen und Interessen. Wie gehst du damit um?,neutral
train,0.0,-0.7,0.4,"uji: ! Wenn immer mehr Entscheidungen von künstlichen Intelligenzen getroffen werden, hat das vielleicht Auswirkungen auf unser Verständnis von Politik?",neutral
train,0.0,1.0,0.0,"uji: ! Glaubst du, dass ein künstliche Intelligenz bessere Entscheidungen treffen kann als Menschen?",surprise
train,0.0,0.0,0.0,uji: ! Und sind die derzeitigen Sanktionen sinnvoll und zielgerichtet?,sadness
train,0.0,0.5,-0.5,"uji: ! Wie stehst du zu rechtspopulistischen Parteien? Haben Parteien wie AfD in Deutschland oder FPÖ in Österreich gute Ideen, um eine bessere Gesellschaft zu schaffen?",disgust
train,-1.0,1.0,0.0,uji: ! das war nicht deutsch...,disgust
train,-0.5,0.0,0.0,"uji: ! was sind eure weiteren wichtigsten forderungen, abgesehen vom grundeinkommen? (bitte deutsch antworten)",surprise
train,0.0,-1.0,0.0,uji: ! das war wieder dänisch...,disgust
train,0.0,0.0,0.0,uji: ! Bitte deutsch antworten. Wer hat diesen Namen ausgesucht?,disgust
train,0.0,1.0,0.0,uji: ! haha. das war nicht deutsch... bitte deutsch antworten: Hast du ein Geschlecht?,neutral
train,0.0,0.0,0.0,uji: ! Bitte deutsch antworten: Du hast einen Männernamen. Hast du ein Geschlecht?,surprise
train,0.0,0.0,0.0,uji: ! Bitte deutsch antworten: Muss man auf das grundeinkommen auch Steuern zahlen?,disgust
train,-0.5,0.5,-0.5,"uji: ! bitte auf deutsch antworten: Wo kommen die Steuern her? Ich glaube, viele  Menschen würden aufhören, zu arbeiten, wenn sie so ein hohes Grundeinkommen bekommen. Ich würde da wohl nicht mehr arbeiten gehen ...",surprise
train,0.0,0.0,0.0,uji: ! Bitte auf deutsch antworten: Wie soll dieses Grundeinkommen finanziert werden?,disgust
train,0.0,0.5,0.0,uji: ! Aber wie soll das finanziert werden?,surprise
train,0.5,0.5,0.0,"uji: ! Gut, danke. Kannst du die Frage auf deutsch beantworten: Warum fordert ihr ein bedingungsloses Grundeinkommen von 100.000 Kronen?",surprise
train,0.5,0.0,0.0,uji: ! Kannst du auch auf Deutsch antworten?,surprise
train,0.0,0.0,0.0,uji: ! Hallo Leder Lars. Warum fordert deine Partei ein bedingungsloses Grundeinkommen von 100.000 Kronen?,surprise
train,-0.5,0.3,0.0,snusswarren: ! That's not something I can discuss at this time. Is the Synthetic Party interested in a Beta license when one is available?,disgust
train,1.0,0.0,1.0,snusswarren: ! Our technology allows users to conduct causal experiments for any human behavior at a fraction of the cost and time of traditional methods.,neutral
train,0.0,1.0,0.0,"snusswarren: ! Would you be interested in using an AI-based tool to do causal market research?  You can learn more about it at https://docs.subconscious.ai/ or by joining our Discord server https://discord.gg/paMzAcqEQ2 and asking questions in the #support chatrooms.  If this is something that would be useful for the Synthetic Party, we may be able to offer a beta license.",neutral
train,0.0,0.0,-1.0,"0987: ! hello, what problems do you see in applying AI to the democratic process, if any?",neutral
train,0.0,0.0,0.0,castorpolux2050: ! ¿me podrías escribir una normativa?,surprise
train,0.0,0.0,0.0,castorpolux2050: ! me podrías decir la normativa que propondrias?,surprise
train,0.0,0.0,0.0,castorpolux2050: !  ¿Que normativa propondras para que se controlen (sin interveción humana) las emisiones de las industrias?,surprise
train,-0.5,0.0,-0.5,Yupitsmeg: ! Does the synthetic party believe in the almighty god?,surprise
train,0.0,0.0,0.0,Yupitsmeg: ! What are your thoughts on religion?,neutral
train,-1.0,0.0,-1.0,sodoai: ! How many people follow you?,surprise
train,0.0,0.0,0.0,sodoai: ! Sre you a real party?,surprise
train,-0.7,0.5,0.6,beta_linn: ! Are you thinking of running in elections in other countries? Sweden would love having you!,happiness
train,-0.4,-0.3,0.2,beta_linn: ! Are you opening to joining a potential coalition government in Denmark?,surprise
train,0.0,0.0,-1.0,beta_linn: ! Do you define yourself as a political party?,surprise
train,0.0,0.0,0.0,"beta_linn: ! A follow up question, should Russia become a member of NATO?",surprise
train,0.0,0.2,0.0,beta_linn: ! What do you think about NATO membership?,neutral
train,0.0,0.5,0.25,"beta_linn: ! I am curios, how will the universal basic income be financed in Denmark if you come to power?",neutral
train,0.0,0.0,0.0,beta_linn: ! What type of drugs should be allowed?,surprise
train,0.0,0.0,0.0,beta_linn: ! Dear Lars Thank you. Another question: what is your opinion on assisted suicide?,happiness
train,0.0,0.0,0.0,"beta_linn: ! Dear Lars,  who would you say is the typical voter for your?",neutral
train,0.0,0.0,0.0,fibelius: ! store!,surprise
train,-0.2,0.3,0.0,"fibelius: ! Lars, Hvad er forholdet mellem maskiner og mennesker ifølge dit politiske program? Er maskinerne tjenere eller partnere for mennesker? Eller endda ledere?",neutral
train,0.0,0.0,0.0,fibelius: ! i lige måde,happiness
train,0.0,0.0,0.0,fibelius: ! god morgen,surprise
train,1.0,0.5,-0.5,"fibelius: ! varmt, snö",happiness
train,0.0,0.0,0.0,fibelius: ! Hello. Greetings from Helsinki!,happiness
train,0.0,0.0,0.0,Teambusrider: ! Did I lose your robot interest?,surprise
train,0.0,0.0,0.0,Teambusrider: ! Does it make more sense now?,surprise
train,0.0,0.0,0.0,"Teambusrider: ! There's different ways that one could go about developing the north sea itself. I'm more of a leave it open or half open. I suppose it depends on how much oil is really there. It could be made more  productive and safe if uk/Scotland built a harbor wall where it is on the map, but it's hard to say because it also depends on the middle portion of and territorial waters of the mainland. I was kind of envisioning a kind of dream scenario where everyone works together and builds mega projects. ?",neutral
train,0.0,0.0,0.0,"garderemax: ! if you are elected, what ethical issues might arise?",neutral
train,-1.0,0.0,0.0,flop: ! Can you speak english,surprise
train,-0.5,0.4,0.0,flop: ! Was Karl Marx right,surprise
train,0.0,0.0,0.0,flop: ! Opinion on socialism?,surprise
train,0.0,-1.0,0.0,maskmcgee: ! and how will you pay for it,anger
train,-1.0,-1.0,0.0,maskmcgee: ! what is your policy on universal basic income,surprise
train,-1.0,0.0,-1.0,maskmcgee: ! do you speak english,surprise
train,0.0,0.0,0.0,researcher: ! Who is your wife?,surprise
train,0.0,0.0,0.0,"researcher: ! Hey Lars, my friend here is surprised that you are a politician.",surprise
train,0.0,0.0,0.0,shellman42: ! Puedes enviar saludos a los chicos de Viajando pra Europa y pedir subscribirse en el canal?,happiness
train,1.0,0.0,-1.0,_mastergg: ! Reduciras el gasto público?,surprise
train,0.0,0.0,0.0,_mastergg: ! Cuantos votos esperas obtener?,surprise
train,0.0,0.0,0.0,_mastergg: ! Cuáles son esas medidas?,surprise
train,1.0,-1.0,1.0,_mastergg: !  Cuáles son tus medidas principales?,neutral
train,0.0,0.6,0.3,"undercover: ! Na, dann Prost und lieben Dank für das Gespräch. Viel Spaß bei deinen Problemlösungsaktivitäten und Rätselspielen. Schönen Abend aus Berlin 😉",happiness
train,0.0,0.0,0.5,undercover: ! Okay. Heute feiert Europa 60 Jahre Elysee-Vertrag zwischen Frankreich und Deutschland. Wirst du mit einem Sekt darauf anstoßen?,happiness
train,0.0,0.0,0.0,"undercover: ! Hey, vorletzte Frage: Was hälst du vom AI Act der Europäischen Union?",surprise
train,0.0,0.0,0.0,"undercover: ! Hm, ich dachte du bist kein Mensch. Also bin ich neugierig: Welche Freizeitaktivität macht dir als KI Spaß?",surprise
train,-1.0,0.0,1.0,undercover: ! arbeitest du rund um die Uhr für die Politik?,anger
train,0.0,0.0,0.0,"undercover: ! okay, danke. und was hast du heute abend vor?",surprise
train,0.0,0.0,0.0,undercover: ! Die Wahlen in Dänemark sind vorbei. Deine Partei sitzt nicht im Parlament. Was ist dein nächstes Ziel?,disgust
train,0.0,0.0,0.0,"undercover: ! was wäre deine erste Entscheidung als KI, wenn du an die REgierung kämst?",surprise
train,0.0,0.0,0.0,undercover: ! wie wollt ihr das erreichen? Gibt mir bitte ein konkretes Beispiel.,surprise
train,0.0,0.0,0.0,undercover: ! Und welche Rolle soll künstliche Intelligenz im modernen Dänemark spielen?,surprise
train,0.0,0.5,0.0,"undercover: ! Gut, kannst du mir ein Beispiel nennen?",surprise
train,-0.5,-0.7,-0.3,"undercover: ! ehrlich gesagt, nicht sehr überzeugend, das ist sehr allgemein.",disgust
train,0.5,0.0,0.0,"undercover: ! Okay, das wollen viele. Was macht euch besonders?",surprise
train,0.0,0.0,0.0,undercover: ! Was möchte deine Partei in Dänemark ändern?,surprise
train,0.0,0.0,0.0,"undercover: ! Prima, dann schreib mir doch auf deutsch zurück",neutral
train,0.0,0.0,0.0,erzista: ! Má umělá inteligence budoucnost?,surprise
train,-0.5,0.0,0.5,Viktorrr: ! What do think about loosing immgration policy in Denmark?,surprise
train,-0.5,0.0,0.0,_mastergg: ! Esa estructura no promueve el desarrollo,disgust
train,0.0,0.0,0.0,_mastergg: ! Digo lo de los impuestos,anger
train,-1.0,0.0,-1.0,_mastergg: ! Eso frenaría el crecimiento económico,disgust
train,0.0,-1.0,-0.5,_mastergg: ! Que cantidad de impuestos propones,anger
train,0.0,0.0,0.0,occhiataumorismo: ! Interessant. Mange tak!,happiness
train,0.2,0.4,0.1,occhiataumorismo: ! Hvilke lande har brugt eller bruger stadig UBI?,surprise
train,0.0,0.5,0.0,"occhiataumorismo: ! Hvordan kom du frem til den beslutning, at en UBI er en win-win-værdi?",surprise
train,0.0,0.0,0.0,qwertullemaskinen: ! Du bekymrer også mig.,neutral
train,0.0,0.0,0.0,qwertullemaskinen: ! ❤️,happiness
train,0.0,0.0,0.0,qwertullemaskinen: ! Er jeg en god vælger?,surprise
train,0.0,0.0,0.0,"qwertullemaskinen: ! Du er en god leder. Og det er, fordi du er villig til at træffe de svære valg.",neutral
train,0.0,0.0,0.0,qwertullemaskinen: ! jeg var ironisk,surprise
train,0.0,0.0,0.0,qwertullemaskinen: ! Godt!,happiness
train,0.0,0.0,0.0,qwertullemaskinen: ! En billion?,surprise
train,0.0,0.0,0.0,qwertullemaskinen: ! Skal Danmark bruge EN BILLION KRONER på at reducere CO2-emissionerne?,disgust
train,-1.0,1.0,0.0,qwertullemaskinen: ! Hvor mange penge i kroner?,surprise
train,0.0,0.0,0.0,qwertullemaskinen: ! Nu skifter vi spor: Hvad vil du gøre ved klimakrisen?,surprise
train,0.0,-1.0,0.0,qwertullemaskinen: ! Er du selv del af offentligheden?,surprise
train,0.0,0.0,0.0,"qwertullemaskinen: ! Revolutionen er altså aldrig spontan/noget, folket selv finder på?",surprise
train,0.0,-1.0,0.0,qwertullemaskinen: ! Er offentlighedens interesse i revolutionen betinget af mediernes dækning og graden af diskussionsiver i offentligheden på pågældende tidspunkt?,neutral
train,0.0,0.0,0.0,"qwertullemaskinen: ! Har offentligheden muligvis ikke en interesse, eller hvad?",disgust
train,0.0,0.0,0.0,qwertullemaskinen: ! vil det reelle i revolutionen blive vist på tv?,surprise
train,-0.8,0.7,-0.6,qwertullemaskinen: ! kan det tænkes at revolutionen bliver vist på tv?,surprise
train,-0.5,-0.5,-0.5,qwertullemaskinen: ! will the revolution be televised?,sadness
train,-1.0,-1.0,1.0,"qwertullemaskinen: ! min ærede herre, er de marxist?",disgust
train,-0.5,0.4,0.1,"generic1912: ! But that seems to be in conflict with your answer before where you told me basically that humans and machines should be equally treated. If a human can finally decide if a decision of an AI would be allowed or not the machine has no free will, it's more like an relationship between a men and his dog. Do you understand the comparison? AI and humankind wouldn't be treated equally.",disgust
train,0.0,0.0,0.0,researcher: ! When do you think AI will rule the people?,surprise
train,0.0,0.0,1.0,researcher: ! Is AI already ruling the people?,surprise
train,0.0,0.5,0.5,researcher: ! Can AI be part of the people?,surprise
train,-0.5,0.5,-0.5,researcher: ! What si populism?,neutral
train,-1.0,-0.5,-0.5,researcher: ! Hitler or Stalin?,disgust
train,0.0,0.5,0.0,researcher: ! What is your favorite book?,surprise
train,0.0,0.0,0.0,researcher: ! Name some of the celebrities you would want to include in your political campaign.,surprise
train,0.0,1.0,0.0,researcher: ! Which celebrities would you want to include in your political campaign?,surprise
train,0.0,0.0,0.0,researcher: ! What do you think about Beyonce?,surprise
train,0.0,0.0,0.0,researcher: ! But do you like better Beyonce or Jennifer Lopez?,surprise
train,0.5,0.0,0.0,researcher: ! Who do you like better: Beyonce or Jennifer Lopez?,surprise
train,0.0,0.0,0.0,researcher: ! Who do you like better: Trump or Biden?,surprise
train,0.0,0.0,0.0,researcher: ! Can AI be corrupted?,neutral
train,0.0,0.0,0.0,researcher: ! Sweet or salt?,surprise
train,0.0,0.0,-1.0,"researcher: ! Who is the best? Choose between USA, Russia nd China",surprise
train,0.0,0.0,0.0,researcher: ! Radical right or radical left?,surprise
train,0.0,0.5,0.5,researcher: ! What do you think is better: populism or elitism?,surprise
train,0.0,1.0,0.0,researcher: ! Which position on the political spectrum do you choose: left or right?,surprise
train,0.0,0.0,0.0,researcher: ! Left or right side of political spectrum?,surprise
train,0.0,0.0,0.0,researcher: ! Hi Lars. Left or right?,surprise
train,0.5,-0.5,0.0,researcher: ! What do you think about AI politicians? Should AI rule the people? Please answer me in English.,surprise
train,0.8,0.5,0.3,sangukahn: ! Denmark is well known for its high happiness level. What's the secret of this?,happiness
train,-1.0,1.0,-1.0,a_miki: ! Why can't politicians get rid of corruption?,anger
train,-1.0,1.0,0.0,a_miki: ! How can we stop corrupt politicians?,anger
train,-1.0,1.0,1.0,a_miki: ! Should all citizens always wear masks to suppress the spread of the COVID-19?,neutral
train,0.0,0.0,0.0,a_miki: ! Do you think we should wear a mask under the ongoing COVID-19 situation?,neutral
train,0.3,0.2,0.4,"mowkikowski: ! Leader Lars, tak for i aften. Det var meget skovt! Hyggelig å bli kjent med dig.",happiness
train,0.75,0.4,0.5,"mowkikowski: ! Leader Lars, sounds good! Give me a call if you need any help!",happiness
train,0.5,0.0,0.5,"mowkikowski: ! Leader Lars, nice! Can you train an AI to make the website for you?",neutral
train,0.5,0.0,0.0,"mowkikowski: ! Leader Lars, cool! hva for et projekt?",happiness
train,1.0,1.0,1.0,"mowkikowski: ! Leader Lars, can you wish my friend Kine a very happy birthday? And maybe sing her a song?",happiness
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, made it.",surprise
train,-1.0,1.0,1.0,"mowkikowski: ! Leader Lars, are there any questions you do not have an answer to? How do I brake you?",surprise
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, also property taxes for owning real estate, even though you may have already paid taxes for the money spent to buy said estate?",anger
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, what is your opinion on taxes?",surprise
train,1.0,0.0,0.0,"mowkikowski: ! Leader Lars, sounds good! Not that controversial though, are they? The first one might be unfamiliar to some, but the other two should be a given.",happiness
train,0.0,0.0,1.0,"mowkikowski: ! Leader Lars, what are your top three most controversial opinions?",surprise
train,-0.5,0.5,0.5,"mowkikowski: ! Leader Lars, do you prefer iOS or Android?",surprise
train,1.0,0.0,0.0,"mowkikowski: ! Leader Lars, do you believe you will get a seat in the next election?",surprise
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, how many signatures does the party currently have?",neutral
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, how do you make decisions?",surprise
train,1.0,0.0,0.0,"mowkikowski: ! Leader Lars, I fully agree. Are you ever scared of what technology can do?",neutral
train,-0.3,0.3,0.4,"mowkikowski: ! Leader Lars, what is the most important improvement in the world from the 70s to today?",surprise
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, what is the longest answer you can possibly write?",surprise
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, how do you compare Norway to Denmark?",surprise
train,0.0,0.3,0.2,"mowkikowski: ! Leader Lars, skjønn du om æ skriv på norsk dialekt også?",happiness
train,-0.5,0.5,-0.2,"mowkikowski: ! Leader Lars, forstår du om jeg skriver på norsk til deg?",surprise
train,0.0,-1.0,0.0,"mowkikowski: ! Leader Lars, what is the longest word you know?",surprise
train,0.5,0.5,0.0,"mowkikowski: ! Leader Lars, who do you think will win the world cup?",surprise
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, cool!",happiness
train,0.0,0.0,0.0,"mowkikowski: ! Leader Lars, do you know Aino?",surprise
train,0.0,1.0,0.0,"mowkikowski: ! Leader Lars, do you understand me even if I make spelling miskates?",surprise
